"GOALID","GOALDESCRIPTION"
"G1","The patient should receive enough drug to relieve the pain."
"G2","The patient should not receive so much drug that makes him unaware"
"G3","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G4","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G5","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G6","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G7","Patient''s health information should be available to those caring for the patient, and only those."
"G8","The patient should receive enough drug to relieve the pain."
"G9","The patient should not receive so much drug that makes him unaware"
"G10","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G11","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G12","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G13","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G14","Patient''s health information should be available to those caring for the patient, and only those."
"G15","The patient should receive enough drug to relieve the pain."
"G16","The patient should not receive so much drug that makes him unaware"
"G17","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G18","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G19","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G20","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G21","Patient''s health information should be available to those caring for the patient, and only those."
"G22","The patient should receive enough drug to relieve the pain."
"G23","The patient should not receive so much drug that makes him unaware"
"G24","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G25","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G26","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G27","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G28","Patient''s health information should be available to those caring for the patient, and only those."
"G29","The patient should receive enough drug to relieve the pain."
"G30","The patient should not receive so much drug that makes him unaware"
"G31","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G32","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G33","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G34","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G35","Patient''s health information should be available to those caring for the patient, and only those."
"G36","The patient should receive enough drug to relieve the pain."
"G37","The patient should not receive so much drug that makes him unaware"
"G38","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G39","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G40","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G41","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G42","Patient''s health information should be available to those caring for the patient, and only those."
"G43","The patient should receive enough drug to relieve the pain."
"G44","The patient should not receive so much drug that makes him unaware"
"G45","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G46","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G47","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G48","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G49","Patient''s health information should be available to those caring for the patient, and only those."
"G50","The patient should receive enough drug to relieve the pain."
"G51","The patient should not receive so much drug that makes him unaware"
"G52","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G53","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G54","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G55","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G56","Patient''s health information should be available to those caring for the patient, and only those."
"G57","The patient should receive enough drug to relieve the pain."
"G58","The patient should not receive so much drug that makes him unaware"
"G59","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G60","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G61","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G62","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G63","Patient''s health information should be available to those caring for the patient, and only those."
"G64","The patient should receive enough drug to relieve the pain."
"G65","The patient should not receive so much drug that makes him unaware"
"G66","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"G67","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"G68","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"G69","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"G70","Patient''s health information should be available to those caring for the patient, and only those."
